iter	Logloss
0	0.6297532843
1	0.5834417124
2	0.5307584897
3	0.4827064134
4	0.4560933857
5	0.4363185565
6	0.411099602
7	0.3988647874
8	0.3854646042
9	0.3738645197
10	0.366442093
11	0.3571068988
12	0.3510851114
13	0.3438693886
14	0.3359185947
15	0.3268731181
16	0.3206080195
17	0.3153217866
18	0.3101190923
19	0.3062893084
20	0.302944427
21	0.2978360177
22	0.2924826941
23	0.2868514147
24	0.2842657477
25	0.2815538936
26	0.2797348985
27	0.2767096206
28	0.2752581562
29	0.272942504
30	0.2707358988
31	0.2682516975
32	0.2638796516
33	0.2614290552
34	0.259176997
35	0.257213669
36	0.2550831364
37	0.2531687849
38	0.249944455
39	0.2485391906
40	0.2459664115
41	0.2441916756
42	0.2412823034
43	0.2404417853
44	0.2385743602
45	0.2373664875
46	0.2359919398
47	0.2334936967
48	0.2313197539
49	0.2300642541
50	0.2279771122
51	0.2273139112
52	0.2249653088
53	0.2239081212
54	0.2233333195
55	0.2216247598
56	0.2201912881
57	0.2189563206
58	0.2172203965
59	0.2160769388
60	0.2148943924
61	0.2135996387
62	0.2124545243
63	0.2112775043
64	0.209199824
65	0.2084981865
66	0.2078631066
67	0.2075609153
68	0.2059656414
69	0.2050654949
70	0.203904517
71	0.2031742422
72	0.2018669747
73	0.2006154769
74	0.1998626196
75	0.198969169
76	0.1980681771
77	0.1973629749
78	0.1961191714
79	0.1946005992
80	0.1935668809
81	0.1932451969
82	0.1925844153
83	0.1917914381
84	0.1912722494
85	0.190649823
86	0.1901547594
87	0.1895759532
88	0.1879459534
89	0.1875504693
90	0.1869861202
91	0.1861441373
92	0.1856613008
93	0.1847108344
94	0.1841568469
95	0.1833634203
96	0.1825521212
97	0.1813524287
98	0.1802211496
99	0.1795560515
100	0.178923974
101	0.1782054333
102	0.1770457586
103	0.1761821113
104	0.1751507736
105	0.1747616137
106	0.1741917286
107	0.1730914503
108	0.1722916132
109	0.1713568622
110	0.1705699506
111	0.1692813195
112	0.1681662684
113	0.1672398469
114	0.1666882946
115	0.1663988794
116	0.1658759219
117	0.1654363996
118	0.1647010383
119	0.1640087251
120	0.1636361527
121	0.162688073
122	0.1623289666
123	0.1614103816
124	0.1602535065
125	0.1598732033
126	0.1593462656
127	0.1585457969
128	0.1576974836
129	0.1565666588
130	0.1554872372
131	0.1540416355
132	0.1530672614
133	0.1523563543
134	0.1512876247
135	0.1506686695
136	0.1493414307
137	0.1485092081
138	0.1478398796
139	0.1467265373
140	0.1459795027
141	0.1453851937
142	0.1445756375
143	0.1440707772
144	0.1431644193
145	0.1425671504
146	0.1419383328
147	0.1408895623
148	0.1401191373
149	0.1394847291
150	0.1386874426
151	0.1374711346
152	0.1369511079
153	0.1359716447
154	0.1350162617
155	0.1342303339
156	0.1335172187
157	0.1330056624
158	0.1322601751
159	0.1314436728
160	0.1310258246
161	0.1301456834
162	0.1297161377
163	0.1290328597
164	0.1281889208
165	0.1274835017
166	0.1268733018
167	0.1262112425
168	0.1255622308
169	0.1248048942
170	0.1238694059
171	0.1231026156
172	0.1226262783
173	0.1222039326
174	0.1215210634
175	0.1210843037
176	0.1202602862
177	0.1196025727
178	0.118918668
179	0.1185755352
180	0.1180837236
181	0.117318381
182	0.1165634699
183	0.1159463985
184	0.1152422274
185	0.1148727753
186	0.1145826854
187	0.1141777882
188	0.1139174512
189	0.1134078564
190	0.112856182
191	0.1122683504
192	0.1116587675
193	0.111018621
194	0.1104659209
195	0.110158737
196	0.1097297634
197	0.1093514169
198	0.1090321395
199	0.1085567636
200	0.1081016474
201	0.1076540488
202	0.1073674933
203	0.1068400953
204	0.1065644995
205	0.1061030226
206	0.1055796946
207	0.1050225632
208	0.1047544668
209	0.1043554391
210	0.103715207
211	0.1035262888
212	0.1031901087
213	0.1027255662
214	0.1020619596
215	0.1017241125
216	0.1014396619
217	0.1010561286
218	0.1005204186
219	0.1002036037
220	0.09983900201
221	0.09933058477
222	0.09910652344
223	0.09866617104
224	0.09830878571
225	0.09804449459
226	0.09770022608
227	0.09735670149
228	0.09696589771
229	0.09656118096
230	0.09626155358
231	0.09596728734
232	0.09551156751
233	0.09498757576
234	0.09470102815
235	0.09449885834
236	0.09410079079
237	0.09364391043
238	0.09339288552
239	0.09318456085
240	0.09271175133
241	0.09244860131
242	0.09214753465
243	0.09180023698
244	0.09135370482
245	0.09097161198
246	0.09058614019
247	0.09016663052
248	0.0897505004
249	0.08939201467
250	0.08907911622
251	0.08869848877
252	0.08845479564
253	0.08799196144
254	0.08750870414
255	0.08723765026
256	0.08700711099
257	0.08674597899
258	0.08620800018
259	0.08571836757
260	0.08545690035
261	0.08526258945
262	0.08502793884
263	0.0846556616
264	0.08440330794
265	0.08396127274
266	0.08367489152
267	0.08346564924
268	0.08318939029
269	0.08272591601
270	0.08242508923
271	0.08215767179
272	0.08197722589
273	0.08176898867
274	0.08142218958
275	0.08109972878
276	0.08088719317
277	0.08065513993
278	0.08036667511
279	0.08005670015
280	0.07980628981
281	0.07956843697
282	0.07926008408
283	0.07890945604
284	0.07866972547
285	0.07847772287
286	0.07829107899
287	0.07801895325
288	0.07780015529
289	0.07757710206
290	0.07725194672
291	0.07693095919
292	0.07650438373
293	0.07626527988
294	0.07595943265
295	0.07577433127
296	0.07554759606
297	0.07523435996
298	0.0750374444
299	0.07481906122
